ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
4.617,0.7053,0.0974,-0.6875,-5.5191,-11.8321,4.9466
4.637,0.7261,0.083,-0.676,-2.374,-9.5802,2.8244
4.657,0.7292,0.0862,-0.6865,0.9695,-4.855,1.2672
4.677,0.7078,0.1016,-0.6819,3.5878,0.2672,-2.3206
4.697,0.697,0.1147,-0.699,2.084,0.5802,-1.4809
4.717,0.6885,0.1267,-0.6941,-0.7634,-1.5115,-1.0534
4.737,0.688,0.1199,-0.6953,-3.7023,-5.1221,1.7328
4.757,0.6982,0.1033,-0.6887,-3.9542,-6.145,1.8473
4.777,0.7063,0.0996,-0.6907,-2.9542,-5.626,2.9008
4.797,0.7112,0.0986,-0.6846,-1.4351,-3.7252,1.9542
4.817,0.7112,0.1013,-0.698,-1.1069,-2.0916,1.0916
4.837,0.7009,0.1021,-0.6882,-2.0611,-1.4504,0.0916
4.857,0.7012,0.1033,-0.689,-2.8626,-2.5802,0.2824
4.877,0.6995,0.0996,-0.6904,-1.7481,-3.9771,0.9008
4.897,0.7,0.104,-0.6841,0.313,-4.3511,0.5954
4.917,0.7046,0.1091,-0.6931,0.687,-4.542,1.8779
4.937,0.7007,0.1096,-0.6882,0.1679,-3.8855,0.3588
4.957,0.7068,0.1091,-0.6895,-1.6794,-4.5649,1.1069
4.977,0.7041,0.1069,-0.6877,-2.0763,-4.5878,1.1756
4.997,0.7104,0.1016,-0.6836,-2.6107,-5.1145,2.1298
5.017,0.7148,0.0925,-0.6892,-2.2214,-4.4962,1.0458
5.037,0.7126,0.0996,-0.6848,-1.458,-2.7176,0.0687
5.057,0.7,0.1011,-0.6863,-0.3969,-1.0382,0.1374
5.078,0.6919,0.1101,-0.6902,0.0763,-0.4046,-0.6412
5.097,0.686,0.1118,-0.6904,-0.9237,-1.9466,0.458
5.117,0.6909,0.1094,-0.6907,-2.5878,-4.7405,2.1221
5.137,0.7048,0.1003,-0.6934,-3.7863,-7.5725,3.1069
5.157,0.7129,0.0908,-0.6826,-3.3664,-7.0992,2.3893
5.177,0.7256,0.0869,-0.6816,-1.5802,-4.916,1.7786
5.197,0.7146,0.0969,-0.6851,1.542,-0.5725,-1.3053
5.217,0.6958,0.1082,-0.6855,2.0611,1.0916,-1.2595
5.237,0.6748,0.127,-0.6821,1.5954,1.5649,-1.3206
5.257,0.6794,0.1274,-0.7126,-0.0382,-1.9084,1.9695
5.277,0.6841,0.1184,-0.6958,-1.8321,-7.2748,4.1145
5.297,0.719,0.0981,-0.6819,-7.626,-14.5496,8.1221
5.317,0.7646,0.0591,-0.6887,-9.458,-16.0916,5.8168
5.337,0.7791,0.0486,-0.6694,-4.4504,-7.229,-0.3664
5.357,0.7532,0.0718,-0.6953,4.1221,7.0611,-5.1679
5.377,0.6748,0.1274,-0.6848,8.0076,16.1374,-9.7176
5.397,0.624,0.158,-0.7119,2.2137,10.6565,-6.3359
5.417,0.6152,0.155,-0.6897,-5.1145,-4.8626,-0.4885
5.437,0.6655,0.1191,-0.6882,-8.313,-18.1679,7.9237
5.457,0.7214,0.0815,-0.6851,-4.8779,-20.0534,9.542
5.477,0.7598,0.0684,-0.6951,0.3817,-11.855,6.5725
5.497,0.75,0.0803,-0.689,2.5573,-1.3435,0.7252
5.517,0.7271,0.0957,-0.6899,-1.4198,2.0916,-2.2443
5.537,0.7109,0.0957,-0.6887,-4.4351,0.0687,-3.9924
5.557,0.7002,0.0959,-0.6907,-2.4733,-1.4962,-2.7863
5.577,0.6897,0.1138,-0.6868,2.7634,0.1069,-1.6107
5.597,0.6702,0.1362,-0.6846,4.0153,2.1603,-1.4198
5.617,0.6628,0.1421,-0.7107,0.4351,-0.5038,0.7176
5.637,0.6653,0.1331,-0.6992,-4.3664,-5.8702,3.2977
5.657,0.7065,0.0994,-0.7017,-9.3893,-13.3359,7.8321
5.677,0.7385,0.0637,-0.6736,-9.1756,-15.5115,6.4046
5.697,0.7727,0.0461,-0.6655,-3.7557,-10.916,3.4198
5.718,0.7612,0.0654,-0.6833,4.0,0.1908,-1.9542
5.737,0.7126,0.1089,-0.6897,7.8015,10.4122,-7.8168
5.757,0.6499,0.1489,-0.7039,5.5496,12.3206,-7.9084
5.777,0.614,0.166,-0.6931,0.6107,5.1069,-4.542
5.797,0.6406,0.1462,-0.7048,-5.7786,-10.0229,5.2366
5.817,0.6919,0.1074,-0.6768,-7.3969,-19.0534,9.4427
5.837,0.7529,0.0696,-0.6782,-7.4122,-19.7481,12.1374
5.857,0.7791,0.0574,-0.679,-3.2824,-10.0916,5.0229
5.877,0.7634,0.0649,-0.679,0.0,2.0916,-2.0763
5.897,0.7129,0.094,-0.6863,2.6336,9.7939,-6.9695
5.917,0.6682,0.1248,-0.6855,3.1832,7.9084,-6.3664
5.937,0.6533,0.1357,-0.6982,2.0611,-0.4198,-1.4656
5.957,0.6687,0.1294,-0.6924,-1.4733,-8.8168,3.4275
5.977,0.7,0.1106,-0.6929,-5.5649,-12.5267,5.6947
5.997,0.7236,0.0889,-0.6809,-6.6565,-9.0687,3.0916
6.017,0.7256,0.074,-0.6892,-4.7557,-3.7863,1.8092
6.037,0.7107,0.0889,-0.6714,0.916,1.8855,-1.9237
6.057,0.6902,0.1096,-0.6819,2.9237,1.5878,-1.145
6.077,0.6792,0.116,-0.699,2.5038,-1.5344,-0.7939
6.097,0.6919,0.1245,-0.7051,-0.4351,-6.9542,3.2061
6.117,0.707,0.1089,-0.6873,-4.0229,-9.3969,4.542
6.137,0.7263,0.0891,-0.6885,-6.5038,-8.1756,2.9008
6.157,0.7314,0.0789,-0.6887,-4.6565,-4.2214,0.2748
6.177,0.7183,0.0847,-0.6768,0.3206,0.1221,-1.0611
6.197,0.7024,0.1052,-0.6895,2.916,1.3511,-1.1908
6.217,0.6853,0.1216,-0.6921,1.8779,0.2366,-1.7939
6.237,0.6814,0.1238,-0.6948,-1.2824,-2.855,0.0229
6.257,0.6865,0.1135,-0.6934,-3.6565,-6.0992,2.0305
6.277,0.7029,0.0964,-0.6931,-4.6565,-8.4198,3.7634
6.297,0.7163,0.0898,-0.6804,-3.6565,-7.7863,3.0305
6.317,0.7258,0.0874,-0.679,-2.2672,-5.5267,1.8931
6.337,0.7168,0.092,-0.6797,0.3206,-1.4046,-1.2595
6.358,0.7009,0.1077,-0.6831,1.5344,1.0305,-2.1298
